00031,MEQUITAZINE LOGOGEN,MEQUITAZINE,5,MG,B/30,,O,,12/06/2014,,120.00,0,027,,,,O,,,,14001A00999,13/03/2010,,01A009,,,G,
00032,QUITADRILL,MEQUITAZINE,5,MG,B/14,,O,,12/06/2014,,56.00,0,014,,,,O,,,,18701A00998,13/03/2010,,01A009,,,P,
00039,HYPOSTAMINE,TRITOQUALINE,100,MG,B/20,,O,,12/06/2014,,30.00,0,014,,,,O,,,,12601A01798,13/03/2010,,01A017,,,P,
00041,RESTAMINE,LORATADINE,10MG,,B/10,,O,,,,60.00,0,014,,,,O,213,,,00101A03300,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 160.20DA.",01A033,10,,G,
00042,LORATINE,LORATADINE,10MG,,B/20,,O,,,,120.00,0,014,C,O,O,O,213,,,00301A03303,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 320.40DA.",01A033,10,,G,
00043,ALLERTINE,LORATADINE,10MG,MG,B/20,,O,28/03/2004,,,120.00,0,014,,O,O,O,213,,,00301A03304,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 320.40DA.",01A033,10,O,G,
00044,CLARITYNE,LORATADINE,10MG,MG,B/10,,O,,,,60.00,0,014,,,,O,,,,02701A03397,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 160.20DA.",01A033,10,,P,
00045,LORADINE,LORATADINE,10MG,MG,B/14,,O,,,,84.00,0,014,,,,O,213,,,03501A03398,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 224.28DA.",01A033,10,O,G,
00046,TIRLOR,LORATADINE,10MG,,B/10,,O,,,,60.00,0,014,,,,O,,,,05001A03302,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 160.20DA.",01A033,10,,G,
00047,TIRLOR,LORATADINE,10MG,MG,B/20,,O,,,,120.00,0,014,,,,O,213,,,60801A03323,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 320.40DA.",01A033,10,O,G,
00048,LORATAN,LORATADINE,10MG,,B/10,,O,,,,60.00,0,014,,,,O,,,,05501A03301,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 160.20DA.",01A033,10,,G,
00143,ATAPSIN,ACIDE ACETYLSALICYLIQUE,500MG,,B/20,,O,,,,66.80,0,014,,O,O,O,,,,26303A00102,,,03A001,10,,G,
00049,CLARYMED,LORATADINE,10MG,,B/10,,O,,,,60.00,0,152,,,,O,,,,09701A03301,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 160.20DA.",01A033,10,O,G,
00050,LOREEN,LORATADINE,10MG,,B/10,,O,,,,60.00,0,014,,,,O,,,,09801A03301,13/03/2010,"En cas de prescription de ce medicament anterieure a la date du 13.03.2010, il y''a lieu d''appliquer le tarif de reference suivant: 160.20DA.",01A033,10,,G,
